Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),SPACE1-1:Zone Operative Temperature [C](Hourly),SPACE2-1:Zone Operative Temperature [C](Hourly),SPACE3-1:Zone Operative Temperature [C](Hourly),SPACE4-1:Zone Operative Temperature [C](Hourly),SPACE5-1:Zone Operative Temperature [C](Hourly),SPACE1-1:Zone People Occupant Count [](Hourly),SPACE2-1:Zone People Occupant Count [](Hourly),SPACE3-1:Zone People Occupant Count [](Hourly),SPACE4-1:Zone People Occupant Count [](Hourly),SPACE5-1:Zone People Occupant Count [](Hourly),SPACE1-1:Zone Lights Total Heating Rate [W](Hourly),SPACE2-1:Zone Lights Total Heating Rate [W](Hourly),SPACE3-1:Zone Lights Total Heating Rate [W](Hourly),SPACE4-1:Zone Lights Total Heating Rate [W](Hourly),SPACE5-1:Zone Lights Total Heating Rate [W](Hourly),SPACE1-1:Zone Electric Equipment Total Heating Rate [W](Hourly),SPACE2-1:Zone Electric Equipment Total Heating Rate [W](Hourly),SPACE3-1:Zone Electric Equipment Total Heating Rate [W](Hourly),SPACE4-1:Zone Electric Equipment Total Heating Rate [W](Hourly),SPACE5-1:Zone Electric Equipment Total Heating Rate [W](Hourly),SPACE1-1:Zone Infiltration Total Heat Loss Energy [J](Hourly),SPACE2-1:Zone Infiltration Total Heat Loss Energy [J](Hourly),SPACE3-1:Zone Infiltration Total Heat Loss Energy [J](Hourly),SPACE4-1:Zone Infiltration Total Heat Loss Energy [J](Hourly),SPACE5-1:Zone Infiltration Total Heat Loss Energy [J](Hourly),space1,space2,space3,space4,space5,SPACE1-1:Zone Infiltration Total Heat Loss Energy [J](Hourly),SPACE2-1:Zone Infiltration Total Heat Loss Energy [J](Hourly),SPACE3-1:Zone Infiltration Total Heat Loss Energy [J](Hourly),SPACE4-1:Zone Infiltration Total Heat Loss Energy [J](Hourly),SPACE5-1:Zone Infiltration Total Heat Loss Energy [J](Hourly),SPACE1-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE1-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE2-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE2-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE3-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE3-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE4-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE4-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE5-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE5-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE1-1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),SPACE2-1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),SPACE3-1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),SPACE4-1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),SPACE5-1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),SPACE1-1 COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),SPACE2-1 COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),SPACE3-1 COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),SPACE4-1 COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),SPACE5-1 COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly)
 01/01  11:00:00,9.2125,23.21913743,25.70095221,22.8396819,22.83209299,22.92078381,11,5,11,5,20,1584,684,1584,684,2964,950.4,410.4,950.4,410.4,1778.4,0,0,0,0,0,-1590.506507,-2547.58551,-1092.727165,-295.3914192,-2583.920566,0,0,0,0,0,0,1663.656102,0,1689.536404,0,1407.371462,0,610.0357159,0,2867.083264,73.14959502,0,314.6442967,160.2152989,283.1626988,0,858.049106,0,0,0
 01/01  12:00:00,9.775,23.9365983,25.54873853,23.06402769,23.07112835,23.04801573,8.8,4,8.8,4,16,1504.8,649.8,1504.8,649.8,2815.8,950.4,410.4,950.4,410.4,1778.4,0,0,0,0,0,-1744.68342,-2283.858872,-1275.564826,-458.5419233,-2582.130284,0,0,0,0,0,0,1744.68342,0,1541.575363,0,1463.370049,0,646.3471458,0,2801.987401,0,0,187.8052225,91.67571531,219.8571173,0,742.2835087,0,0,0
 01/01  13:00:00,10.375,24.55482679,25.12409862,23.14674233,23.17628478,23.09862731,4.4,2,4.4,2,8,1267.2,547.2,1267.2,547.2,2371.2,950.4,410.4,950.4,410.4,1778.4,0,0,0,0,0,-1858.403974,-1491.158816,-956.3731184,-261.4590456,-1812.531972,0,0,0,0,0,0,1777.697192,0,1127.822533,0,1265.677562,0,570.763489,0,2347.661718,0,0,309.3044434,132.7079261,535.1297459,80.70678181,363.3362827,0,0,0
 01/01  14:00:00,10.9125,25.09137905,24.6961222,23.34303113,23.41579159,23.32291375,8.8,4,8.8,4,16,1425.6,615.6,1425.6,615.6,2667.6,950.4,410.4,950.4,410.4,1778.4,0,0,0,0,0,-3503.964333,-1206.192899,-1537.861945,-697.3412446,-2812.48769,0,0,0,0,0,0,2569.566526,0,969.9808048,0,1537.861945,0,697.3412446,0,2812.48769,0,0,0,0,0,934.3978076,236.2120943,0,0,0
 01/01  15:00:00,12.85,25.62407031,24.43644181,23.78898456,23.92156099,23.8133698,11,5,11,5,20,1584,684,1584,684,2964,844.8,364.8,844.8,364.8,1580.8,0,0,0,0,0,-5479.025115,-1095.453618,-1495.528792,-749.9954017,-2890.697925,0,0,0,0,0,0,3434.21835,0,858.2679174,0,1446.15383,0,700.62044,0,2712.641931,0,0,0,0,0,2044.806766,237.1857005,49.37496168,57.96603202,178.0559941
 01/01  16:00:00,13.9,25.61447257,24.25404523,23.93993491,24.28702595,24.02202835,11,5,11,5,20,1584,684,1584,684,2964,739.2,319.2,739.2,319.2,1383.2,0,0,0,0,0,-5584.209374,-905.9577091,-1384.230987,-818.6518927,-3048.29237,0,0,0,0,0,0,3419.497538,0,732.7508562,0,1318.400368,0,752.8212738,0,2672.631416,0,0,0,0,0,2164.711836,173.206853,65.83061893,194.3298119,375.6609538
 01/01  17:00:00,12.15,24.60763063,23.77764945,23.41014416,23.90212851,23.89001479,11,5,11,5,20,1584,684,1584,684,2964,528,228,528,228,988,0,0,0,0,0,-2430.149285,-615.5066119,-1263.146235,-586.0328743,-2626.243243,0,0,0,0,0,0,1949.617139,0,615.5066119,0,1310.383299,0,633.2699382,0,2626.243243,0,0,47.23706396,0,0,480.5321466,0,0,13.86448875,0
 01/01  18:00:00,11.1,23.76680253,23.1921332,23.02014062,23.27058844,23.52317573,11,5,11,5,20,1584,684,1584,684,2964,528,228,528,228,988,0,0,0,0,0,-1505.949284,-559.3419897,-981.5777009,-368.3666222,-2756.76634,0,0,0,0,0,0,1505.949284,0,605.5109453,0,1230.872167,0,617.661088,0,2756.76634,0,46.16895564,249.2944658,24.77136677,0,0,0,0,0,0
 01/01  19:00:00,10.7875,23.03071029,22.85551745,22.75278002,22.88346638,23.14217564,5.5,2.5,5.5,2.5,10,950.4,410.4,950.4,410.4,1778.4,316.8,136.8,316.8,136.8,592.8,0,0,0,0,0,168.0008057,205.7927865,598.1269534,811.5381759,-282.4164743,0,0,0,0,0,0,669.9014704,0,237.3682784,0,460.0789332,0,246.6677107,0,1528.684454,837.902276,443.161065,1058.205887,430.0946892,1246.267979,0,0,0,0,0
 01/01  20:00:00,10.6,22.65742578,22.58955637,22.51329756,22.60304651,22.89610643,1.1,0.5,1.1,0.5,2,633.6,273.6,633.6,273.6,1185.6,316.8,136.8,316.8,136.8,592.8,0,0,0,0,0,1356.294724,684.1782218,1612.674963,1566.97625,1383.771196,0,0,0,0,0,0,92.09071713,9.021005717,12.47564818,44.5402362,8.56196214,6.504436307,16.22487513,0,718.4053177,1448.385442,687.6328643,1576.696689,678.3424761,2102.176514,0,0,0,0,0
 01/01  21:00:00,9.5375,22.45053638,22.43291378,22.37086983,22.43891793,22.76097023,1.1,0.5,1.1,0.5,2,633.6,273.6,633.6,273.6,1185.6,316.8,136.8,316.8,136.8,592.8,0,0,0,0,0,1904.383674,907.5236688,2074.259399,1949.152802,1913.325805,0,0,0,0,0,114.6796501,0,77.63380453,0,199.5069218,0,74.40032563,0,0,575.7405061,1789.704024,829.8898643,1874.752477,823.6233428,2489.066311,0,0,0,0,0
 01/01  22:00:00,9.2125,21.41536264,21.40878847,21.30388819,21.41701533,22.22956547,0,0,0,0,0,79.2,34.2,79.2,34.2,148.2,21.12,9.12,21.12,9.12,39.52,-110983.7352,-49318.36305,-109962.6972,-49932.64339,-215110.3845,0,0,0,0,0,110983.7352,49318.36305,109962.6972,49932.64339,215110.3845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/01  23:00:00,8.4,20.64681224,20.64407897,20.52850302,20.64858361,21.73483788,0,0,0,0,0,79.2,34.2,79.2,34.2,148.2,21.12,9.12,21.12,9.12,39.52,-86294.65632,-38443.80135,-85322.50737,-38935.48738,-171868.1496,0,0,0,0,0,86294.65632,38443.80135,85322.50737,38935.48738,171868.1496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/01  24:00:00,7.1125,20.15584277,20.16071631,20.05054505,20.15862035,21.33237266,0,0,0,0,0,79.2,34.2,79.2,34.2,148.2,21.12,9.12,21.12,9.12,39.52,-112416.929,-50052.23977,-111296.1651,-50634.78316,-224457.4756,0,0,0,0,0,112416.929,50052.23977,111296.1651,50634.78316,224457.4756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/02  01:00:00,8.075,19.8880101,19.88230727,19.80183934,19.87938982,21.07833872,0,0,0,0,0,79.2,34.2,79.2,34.2,148.2,21.12,9.12,21.12,9.12,39.52,-95265.54862,-42686.09949,-94284.81795,-43272.21375,-193239.975,0,0,0,0,0,95265.54862,42686.09949,94284.81795,43272.21375,193239.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/02  02:00:00,7.15,19.72375365,19.70230382,19.6412949,19.70251592,20.93410801,0,0,0,0,0,79.2,34.2,79.2,34.2,148.2,21.12,9.12,21.12,9.12,39.52,-34972.39064,-15591.26732,-34645.32052,-15791.71527,-70526.27813,0,0,0,0,0,34972.39064,15591.26732,34645.32052,15791.71527,70526.27813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/02  03:00:00,5.7875,19.54301574,19.52204257,19.46239409,19.52352886,20.83327524,0,0,0,0,0,79.2,34.2,79.2,34.2,148.2,21.12,9.12,21.12,9.12,39.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/02  04:00:00,4.5375,19.36795703,19.35235354,19.29395508,19.35347687,20.72618591,0,0,0,0,0,79.2,34.2,79.2,34.2,148.2,21.12,9.12,21.12,9.12,39.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/02  05:00:00,4.9625,19.22578953,19.20660977,19.15127233,19.20421464,20.61108497,0,0,0,0,0,79.2,34.2,79.2,34.2,148.2,21.12,9.12,21.12,9.12,39.52,-54889.86366,-24254.71642,-54525.32025,-24489.62865,-110019.2403,0,0,0,0,0,54889.86366,24254.71642,54525.32025,24489.62865,110019.2403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/02  06:00:00,6.6,19.15824147,19.11904131,19.07366307,19.11518901,20.48714694,0,0,0,0,0,79.2,34.2,79.2,34.2,148.2,21.12,9.12,21.12,9.12,39.52,-123506.297,-54738.49126,-122459.9382,-55343.99104,-249512.8465,0,0,0,0,0,123506.297,54738.49126,122459.9382,55343.99104,249512.8465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/02  07:00:00,7.575,19.11858185,19.07292301,19.03926878,19.07121086,20.38942309,0,0,0,0,0,79.2,34.2,79.2,34.2,148.2,21.12,9.12,21.12,9.12,39.52,-175289.3225,-77664.72275,-173834.2409,-78541.84144,-353863.8438,0,0,0,0,0,175289.3225,77664.72275,173834.2409,78541.84144,353863.8438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/02  08:00:00,7.425,21.4389325,21.59951605,21.40211563,21.36216593,21.87397019,0,0,0,0,0,79.2,34.2,79.2,34.2,148.2,21.12,9.12,21.12,9.12,39.52,0,0,0,0,0,6562.962569,2587.262609,6586.063124,5288.185676,7658.409304,0,0,0,0,0,2406.726498,109.0537681,850.4280888,5.691154428,2399.480947,90.14558924,1023.430701,11.97279201,2080.694371,27.76120572,4265.289839,1742.525675,4276.727766,1911.127951,5605.476138,0,0,0,0,0
 01/02  09:00:00,9.325,22.14103471,23.33070937,22.11317667,22.12192881,22.42784586,11,5,11,5,20,1425.6,615.6,1425.6,615.6,2667.6,422.4,182.4,422.4,182.4,790.4,0,0,0,0,0,1260.554839,-382.7873549,1317.115356,1459.716453,371.8576896,0,0,0,0,0,23.96960637,244.8405034,0,581.4479268,27.11579443,219.8138861,25.72643854,75.82343306,0,1371.404897,1481.425736,198.6605719,1509.813447,711.6237744,1743.262586,0,0,0,0,0
 01/02  10:00:00,11.2875,22.68060996,25.00469173,22.57416798,22.57004094,22.73365898,11,5,11,5,20,1504.8,649.8,1504.8,649.8,2815.8,950.4,410.4,950.4,410.4,1778.4,0,0,0,0,0,-1038.618002,-1629.335224,-834.7853298,-177.8375479,-2411.445886,0,0,0,0,0,0,1247.314496,0,1178.606563,0,1144.562032,0,487.6142497,0,2540.453371,208.6964938,0,309.7767018,160.9757734,129.0074852,0,450.7286609,0,0,0
 01/02  11:00:00,13.075,23.53119757,25.47833351,23.11805072,23.05406572,23.22195084,11,5,11,5,20,1584,684,1584,684,2964,950.4,410.4,950.4,410.4,1778.4,0,0,0,0,0,-1473.493707,-2420.50283,-1302.784617,-584.9327954,-2406.7469,0,0,0,0,0,0,1410.595899,0,1513.744826,0,1302.784617,0,584.9327954,0,2406.7469,0,0,0,0,0,62.89780832,906.7580044,0,0,0
 01/02  12:00:00,13.9,24.36117644,25.59343988,23.68033289,23.62205638,23.62099011,8.8,4,8.8,4,16,1504.8,649.8,1504.8,649.8,2815.8,950.4,410.4,950.4,410.4,1778.4,0,0,0,0,0,-2272.206461,-2563.310463,-1243.073626,-554.5973885,-2297.290891,0,0,0,0,0,0,1761.5203,0,1561.271155,0,1243.073626,0,554.5973885,0,2288.944662,0,0,0,0,0,510.6861611,1002.039308,0,0,8.34622927
 01/02  13:00:00,13.9,24.84998719,25.27149655,23.67994414,23.71284016,23.51246234,4.4,2,4.4,2,8,1267.2,547.2,1267.2,547.2,2371.2,950.4,410.4,950.4,410.4,1778.4,0,0,0,0,0,-2818.015876,-1890.905987,-1195.228978,-527.7503477,-2187.401238,0,0,0,0,0,0,2034.217878,0,1225.031931,0,1195.228978,0,527.7503477,0,2187.401238,0,0,0,0,0,783.7979979,665.874056,0,0,0
 01/02  14:00:00,13.9,25.13636274,24.82345574,23.98500918,24.03248484,23.82256513,8.8,4,8.8,4,16,1425.6,615.6,1425.6,615.6,2667.6,950.4,410.4,950.4,410.4,1778.4,0,0,0,0,0,-4057.275411,-1535.101628,-1517.442805,-763.8581113,-2637.002364,0,0,0,0,0,0,2654.493493,0,1047.274808,0,1388.570697,0,634.986003,0,2466.650583,0,0,0,0,0,1402.781919,487.8268206,128.8721084,68.08075058,170.3517802
 01/02  15:00:00,12.8375,25.46597907,24.49987636,24.05585228,24.18167445,23.99384271,11,5,11,5,20,1584,684,1584,684,2964,844.8,364.8,844.8,364.8,1580.8,0,0,0,0,0,-5007.179703,-1170.010978,-1620.169614,-842.580694,-3003.645032,0,0,0,0,0,0,3197.749362,0,895.7813405,0,1504.119524,0,726.5306042,0,2773.04473,0,0,0,0,0,1809.430341,274.2296376,116.0500899,107.9574889,230.6003011
 01/02  16:00:00,12.575,25.47444194,24.2794902,23.95976488,24.3294133,24.06119083,11,5,11,5,20,1584,684,1584,684,2964,739.2,319.2,739.2,319.2,1383.2,0,0,0,0,0,-4956.519952,-852.3892781,-1407.002874,-771.462775,-2848.002016,0,0,0,0,0,0,3189.736972,0,744.6139866,0,1407.002874,0,771.462775,0,2726.700835,0,0,0,0,0,1766.78298,107.7752915,0,137.6636378,121.3011806
 01/02  17:00:00,11.7375,24.53390299,23.76474248,23.37926024,23.91084694,23.86381422,11,5,11,5,20,1584,684,1584,684,2964,528,228,528,228,988,0,0,0,0,0,-2217.609019,-626.9177543,-1302.596396,-593.6525105,-2696.996248,0,0,0,0,0,0,1868.423217,0,626.9177543,0,1346.154392,0,637.2105065,0,2696.996248,0,0,43.55799603,0,0,349.1858022,0,0,3.358279597,0
 01/02  18:00:00,10.7875,23.67078923,23.19966962,23.03040032,23.27433234,23.50181574,11,5,11,5,20,1584,684,1584,684,2964,528,228,528,228,988,0,0,0,0,0,-1526.352644,-548.5573801,-961.3744194,-340.8633568,-2815.217568,0,0,0,0,0,0,1526.352644,0,609.2734328,0,1241.233281,0,620.7222184,0,2815.217568,0,60.71605268,279.8588615,39.08794556,0,0,0,0,0,0
 01/02  19:00:00,11.2875,23.01113922,22.86994095,22.7733188,22.89511315,23.13900926,5.5,2.5,5.5,2.5,10,950.4,410.4,950.4,410.4,1778.4,316.8,136.8,316.8,136.8,592.8,0,0,0,0,0,127.9010998,160.9480192,488.7740404,718.9638383,-368.9281205,0,0,0,0,0,0,662.3046477,0,245.7210711,0,483.8531332,0,253.6633353,0,1517.42231,790.2057475,406.6690903,972.6271737,395.1229298,1148.49419,0,0,0,0,0
 01/02  20:00:00,11.7,22.67182586,22.61087094,22.54133653,22.62245924,22.89946182,1.1,0.5,1.1,0.5,2,633.6,273.6,633.6,273.6,1185.6,316.8,136.8,316.8,136.8,592.8,0,0,0,0,0,1168.730788,593.9406827,1398.393234,1377.856829,1124.073641,0,0,0,0,0,0,116.3537224,3.568365462,20.52751189,20.84901203,22.45796508,2.597652978,24.74301109,0,721.911784,1285.08451,610.8998291,1400.002187,602.6514003,1845.985425,0,0,0,0,0
 01/02  21:00:00,10.6375,22.47397122,22.45754764,22.40164974,22.46254769,22.76546755,1.1,0.5,1.1,0.5,2,633.6,273.6,633.6,273.6,1185.6,316.8,136.8,316.8,136.8,592.8,0,0,0,0,0,1696.53608,811.827829,1848.122958,1751.520144,1653.263929,0,0,0,0,0,79.61693217,0,61.08999863,0,155.279222,0,58.67640802,0,0,580.491727,1616.919148,750.7378304,1692.843736,745.3034294,2233.755656,0,0,0,0,0
 01/02  22:00:00,9.3125,21.47137179,21.47194402,21.37589493,21.47805827,22.26695795,0,0,0,0,0,79.2,34.2,79.2,34.2,148.2,21.12,9.12,21.12,9.12,39.52,-24911.41712,-11113.03494,-24708.66402,-11260.27957,-48091.73043,0,0,0,0,0,24911.41712,11113.03494,24708.66402,11260.27957,48091.73043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/02  23:00:00,9.2125,20.71864469,20.71427856,20.60955199,20.71998979,21.77596941,0,0,0,0,0,79.2,34.2,79.2,34.2,148.2,21.12,9.12,21.12,9.12,39.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/02  24:00:00,9.0875,20.33788865,20.31671038,20.23227643,20.32045772,21.42066693,0,0,0,0,0,79.2,34.2,79.2,34.2,148.2,21.12,9.12,21.12,9.12,39.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
